Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 30.00      0.03     0.03 13135033     0.00     0.00  std::_List_iterator<std::string*>::operator*() const
 20.00      0.05     0.02     4056     0.00     0.01  Buffer::get(char*, unsigned int)
 10.00      0.06     0.01  1230249     0.00     0.00  std::_List_iterator<std::string*>::operator!=(std::_List_iterator<std::string*> const&) const
 10.00      0.07     0.01   542641     0.00     0.00  Parser::peekChar()
 10.00      0.08     0.01    54857     0.00     0.00  Parser::peekIfEqual(std::string const&)
 10.00      0.09     0.01     5300     0.00     0.00  HttpParser::parseOptionConnection()
 10.00      0.10     0.01     4740     0.00     0.00  Buffer::getEolPos()
  0.00      0.10     0.00  2255437     0.00     0.00  std::_List_iterator<std::string*>::_List_iterator(std::_List_node_base*)
  0.00      0.10     0.00  1135840     0.00     0.00  std::list<std::string*, std::allocator<std::string*> >::end()
  0.00      0.10     0.00  1121786     0.00     0.00  std::list<std::string*, std::allocator<std::string*> >::begin()
  0.00      0.10     0.00  1103224     0.00     0.00  std::_List_iterator<std::string*>::operator==(std::_List_iterator<std::string*> const&) const
  0.00      0.10     0.00  1100568     0.00     0.00  Parser::readChar()
  0.00      0.10     0.00  1099930     0.00     0.00  Buffer::getChar(unsigned int)
  0.00      0.10     0.00   276378     0.00     0.00  Buffer::size() const
  0.00      0.10     0.00   273782     0.00     0.00  Parser::isEnd() const
  0.00      0.10     0.00   269761     0.00     0.00  Parser::isIgnore(char) const
  0.00      0.10     0.00   241794     0.00     0.00  Parser::ignore()
  0.00      0.10     0.00   211967     0.00     0.00  Parser::__saveContext()
  0.00      0.10     0.00   188304     0.00     0.00  Parser::__restoreContext()
  0.00      0.10     0.00   137891     0.00     0.00  Parser::readIfEqual(std::string const&)
  0.00      0.10     0.00   113484     0.00     0.00  std::_List_iterator<std::string*>::operator++()
  0.00      0.10     0.00    95403     0.00     0.00  Parser::peekIfEqual(char)
  0.00      0.10     0.00    82211     0.00     0.00  std::_Select1st<std::pair<std::string const, std::string> >::operator()(std::pair<std::string const, std::string> const&) const
  0.00      0.10     0.00    82061     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.10     0.00    81997     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.10     0.00    60117     0.00     0.00  Parser::skipComment(char)
  0.00      0.10     0.00    44581     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, std::string> > const*)
  0.00      0.10     0.00    44503     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, std::string> > const*)
  0.00      0.10     0.00    41518     0.00     0.00  Parser::isAlpha(char) const
  0.00      0.10     0.00    34810     0.00     0.00  Parser::isAlphaNum(char) const
  0.00      0.10     0.00    31043     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      0.10     0.00    25017     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_end()
  0.00      0.10     0.00    22412     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_right(std::_Rb_tree_node_base*)
