Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 11.76      0.02     0.02  1984452     0.00     0.00  bool __gnu_cxx::operator!=<std::string**, std::vector<std::string*, std::allocator<std::string*> > >(__gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > > const&, __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > > const&)
 11.76      0.04     0.02  1837068     0.00     0.00  std::vector<std::string*, std::allocator<std::string*> >::end()
 11.76      0.06     0.02  1776909     0.00     0.00  Buffer::getChar(unsigned int)
 11.76      0.08     0.02  1774339     0.00     0.00  Parser::readChar()
 11.76      0.10     0.02     6798     0.00     0.00  Buffer::getEolPos()
  5.88      0.11     0.01 19414005     0.00     0.00  __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > >::operator*() const
  5.88      0.12     0.01  1807546     0.00     0.00  std::vector<std::string*, std::allocator<std::string*> >::begin()
  5.88      0.13     0.01   159826     0.00     0.00  Parser::peekIfEqual(char)
  5.88      0.14     0.01    50024     0.00     0.00  Parser::isAlphaNum(char) const
  5.88      0.15     0.01    11452     0.00     0.00  Parser::hasEOL()
  5.88      0.16     0.01     7517     0.00     0.00  Parser::readAnythingBut(std::string const&, std::string&)
  2.94      0.17     0.01    39635     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_right(std::_Rb_tree_node_base*)
  2.94      0.17     0.01    32715     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.17     0.00  7559429     0.00     0.00  __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > >::base() const
  0.00      0.17     0.00  3653490     0.00     0.00  __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > >::__normal_iterator(std::string** const&)
  0.00      0.17     0.00  1785142     0.00     0.00  bool __gnu_cxx::operator==<std::string**, std::vector<std::string*, std::allocator<std::string*> > >(__gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > > const&, __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > > const&)
  0.00      0.17     0.00   858600     0.00     0.00  Parser::peekChar()
  0.00      0.17     0.00   458763     0.00     0.00  Parser::isIgnore(char) const
  0.00      0.17     0.00   436900     0.00     0.00  Buffer::size() const
  0.00      0.17     0.00   433060     0.00     0.00  Parser::isEnd() const
  0.00      0.17     0.00   401065     0.00     0.00  Parser::ignore()
  0.00      0.17     0.00   339590     0.00     0.00  Parser::__saveContext()
  0.00      0.17     0.00   301539     0.00     0.00  Parser::__restoreContext()
  0.00      0.17     0.00   213206     0.00     0.00  Parser::readIfEqual(std::string const&)
  0.00      0.17     0.00   181895     0.00     0.00  __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > >::operator++()
  0.00      0.17     0.00   133119     0.00     0.00  std::_Select1st<std::pair<std::string const, std::string> >::operator()(std::pair<std::string const, std::string> const&) const
